reviewer_name,reviewer_role,review_date,set_id,blind_id,accuracy_1_5,completeness_1_5,added_errors_1_5,notes
M. NAEEM,CT RAD,2026-08-06,C,B-HBRPOIG8F1,5,5,1,
M. NAEEM,CT RAD,2026-08-06,C,B-HYF9SXMECO,5,5,1,
M. NAEEM,CT RAD,2026-08-06,C,B-UN5Z3JQIP9,5,5,2,
M. NAEEM,CT RAD,2026-08-06,C,B-1ZXOI65FDH,5,5,1,
M. NAEEM,CT RAD,2026-08-06,C,B-DPFF5E8II4,5,5,1,
M. NAEEM,CT RAD,2026-08-06,C,B-Q71N8MTZX2,5,4,1,
M. NAEEM,CT RAD,2026-08-06,C,B-G1W103DGDZ,5,5,1,
M. NAEEM,CT RAD,2026-08-06,C,B-PE29GD8AFP,5,5,1,
M. NAEEM,CT RAD,2026-08-06,C,B-8DUDD467KD,4,5,1,
M. NAEEM,CT RAD,2026-08-06,C,B-T7A9TGIQHG,4,5,1,
M. NAEEM,CT RAD,2026-08-06,C,B-9AHEJ8CX9J,5,5,1,
M. NAEEM,CT RAD,2026-08-06,C,B-ERW6Z8VBHQ,5,4,2,
M. NAEEM,CT RAD,2026-08-06,C,B-VUHT6T0UZS,4,4,1,
M. NAEEM,CT RAD,2026-08-06,C,B-M0YLTZ9ATS,5,5,1,
M. NAEEM,CT RAD,2026-08-06,C,B-JAG1OL73D9,5,5,1,
M. NAEEM,CT RAD,2026-08-06,C,B-2ESPRVU8FI,4,4,1,
M. NAEEM,CT RAD,2026-08-06,C,B-BYVZK3I8BZ,5,5,2,
M. NAEEM,CT RAD,2026-08-06,C,B-8DWOECBPMB,5,4,1,
M. NAEEM,CT RAD,2026-08-06,C,B-GTHCW81XE6,5,5,1,
M. NAEEM,CT RAD,2026-08-06,C,B-7R8431RUPF,5,5,1,
M. NAEEM,CT RAD,2026-08-06,C,B-P059P452BF,5,5,1,
M. NAEEM,CT RAD,2026-08-06,C,B-W3RTQOHMUH,5,4,1,
M. NAEEM,CT RAD,2026-08-06,C,B-DQ4HEZ5EDJ,4,4,1,
M. NAEEM,CT RAD,2026-08-06,C,B-T1TDGNNQFK,5,5,1,
M. NAEEM,CT RAD,2026-08-06,C,B-3TZR6852FC,4,4,2,
